iso,country,topic,topic_label,count,total_speeches,share
ARG,Argentina,71,71_operation_rights_latin_cyprus,1,56,0.017857142857142856
ARG,Argentina,73,73_argentina_argentine_argentine republic_malvinas,32,56,0.5714285714285714
ARG,Argentina,88,88_india_korea_great_soviet,1,56,0.017857142857142856
ARG,Argentina,89,89_korea_soviet_aggression_soviet union,1,56,0.017857142857142856
ARG,Argentina ,1,1_pandemic_covid_covid 19_19,1,3,0.3333333333333333
ARG,Argentina ,27,27_seychelles_africa_conference_operation,1,3,0.3333333333333333
ARG,Argentina ,73,73_argentina_argentine_argentine republic_malvinas,1,3,0.3333333333333333
ARG,Argentine Republic,1,1_pandemic_covid_covid 19_19,1,2,0.5
ARG,Argentine Republic,73,73_argentina_argentine_argentine republic_malvinas,1,2,0.5
ARM,Armenia,0,0_sustainable_climate_change_climate change,1,23,0.043478260869565216
ARM,Armenia,3,3_soviet_soviet union_union_war,1,23,0.043478260869565216
ARM,Armenia,6,6_terrorism_11 september_2001_terrorist,2,23,0.08695652173913043
ARM,Armenia,24,24_mediation_challenges_peaceful_al nasser,2,23,0.08695652173913043
ARM,Armenia,31,31_century_east timor_timor_human,1,23,0.043478260869565216
ARM,Armenia,33,33_lebanon_lebanese_israel_arab,1,23,0.043478260869565216
ARM,Armenia,83,83_azerbaijan_armenia_karabakh_azerbaijani,15,23,0.6521739130434783
ARM,Armenia ,83,83_azerbaijan_armenia_karabakh_azerbaijani,3,3,1.0
ARM,Republic of Armenia,1,1_pandemic_covid_covid 19_19,1,2,0.5
ARM,Republic of Armenia,83,83_azerbaijan_armenia_karabakh_azerbaijani,1,2,0.5
ATG,Antigua,39,39_barbados_caribbean_antigua_barbuda,1,1,1.0
ATG,Antigua and Barbuda,0,0_sustainable_climate_change_climate change,2,32,0.0625
ATG,Antigua and Barbuda,2,2_africa_african_south_south africa,1,32,0.03125
ATG,Antigua and Barbuda,4,4_caribbean_bahamas_tobago_trinidad tobago,6,32,0.1875
ATG,Antigua and Barbuda,7,7_war_great_soviet_israel,1,32,0.03125
ATG,Antigua and Barbuda,9,9_israel_palestinian_israeli_arab,1,32,0.03125
ATG,Antigua and Barbuda,24,24_mediation_challenges_peaceful_al nasser,1,32,0.03125
ATG,Antigua and Barbuda,31,31_century_east timor_timor_human,1,32,0.03125
ATG,Antigua and Barbuda,39,39_barbados_caribbean_antigua_barbuda,16,32,0.5
ATG,Antigua and Barbuda,48,48_colombia_drug_colombian_drugs,1,32,0.03125
ATG,Antigua and Barbuda,54,54_iraq_terrorism_baghdad_vieira mello,1,32,0.03125
ATG,Antigua and Barbuda,81,81_operation_environment_south_namibia,1,32,0.03125
ATG,Antigua and Barbuda ,1,1_pandemic_covid_covid 19_19,1,3,0.3333333333333333
ATG,Antigua and Barbuda ,7,7_war_great_soviet_israel,1,3,0.3333333333333333
ATG,Antigua and Barbuda ,39,39_barbados_caribbean_antigua_barbuda,1,3,0.3333333333333333
AUS,AUSTRALIA,14,14_south_brunei_darussalam_africa,1,1,1.0
AUS,Australia,0,0_sustainable_climate_change_climate change,2,58,0.034482758620689655
AUS,Australia,3,3_soviet_soviet union_union_war,4,58,0.06896551724137931
AUS,Australia,5,5_islands_pacific_solomon_solomon islands,1,58,0.017241379310344827
AUS,Australia,6,6_terrorism_11 september_2001_terrorist,2,58,0.034482758620689655
AUS,Australia,8,8_independence_operation_africa_special,1,58,0.017241379310344827
AUS,Australia,11,11_portugal_process_fiftieth_human,1,58,0.017241379310344827
AUS,Australia,12,12_viet_viet nam_nam_struggle,1,58,0.017241379310344827
AUS,Australia,13,13_afghanistan_tajikistan_kyrgyzstan_afghan,1,58,0.017241379310344827
AUS,Australia,16,16_reform_malaysia_human_rights,1,58,0.017241379310344827
AUS,Australia,17,17_malawi_zambia_africa_african,1,58,0.017241379310344827
AUS,Australia,19,19_indonesia_china_disarmament_israel,1,58,0.017241379310344827
AUS,Australia,21,21_netherlands_european_rights_human,1,58,0.017241379310344827
